ORF	 "Empirical phi from data in Beyer et al 2003"
YDL182W	0.68289447
YDL183C	0.005167239
YDL184C	0.646310959
YDL185W	0.554831642
YDL186W	0.003225316
YDL188C	0.102178202
YDL189W	0.032392515
YDL190C	0.077011114
YDL191W	3.064377617
YDL192W	3.056815466
YDL193W	0.051352055
YDL194W	0.006738973
YDL195W	0.22000723
YDL197C	0.022566061
YDL198C	0.202498277
YDL199C	0.002412943
YDL200C	0.046485234
YDL201W	0.110321158
YDL202W	0.035505644
YDL203C	0.007644403
YDL204W	0.002614427
YDL205C	0.01060102
YDL206W	0.002730708
YDL207W	0.014022178
YDL208W	1.051360038
YDL209C	0.015477271
YDL210W	0.003713551
YDL211C	0.004239645
YDL212W	0.430910075
YDL213C	0.183632225
YDL214C	0.001666504
YDL215C	0.006991067
YDL216C	0.004431512
YDL217C	0.012308296
YDL218W	0.001923105
YDL219W	0.083114879
YDL220C	0.005699066
YDL222C	0.004591638
YDL223C	0.005596558
YDL224C	0.016552787
YDL225W	0.058905649
YDL226C	0.139611594
YDL227C	0.043052678
YDL229W	11.62862636
YDL230W	0.054650979
YDL231C	0.002040171
YDL232W	0.440207787
YDL233W	0.00881089
YDL234C	0.021636302
YDL235C	0.081100221
YDL236W	0.162220622
YDL237W	0.085907621
YDL238C	0.00073853
YDL239C	0.000848239
YDL240W	0.00136753
YDL241W	0.02074039
YDL243C	0.007139864
YDL244W	0.018869727
YDL245C	0.001922222
YDL246C	0.00709048
YDL247W	0.000932356
YDL248W	0.008149055
YDR001C	0.072241625
YDR002W	0.980037649
YDR003W	0.019410462
YDR004W	0.006430433
YDR005C	0.021495975
YDR006C	0.011860789
YDR007W	0.036941953
YDR009W	0.007708138
YDR011W	0.096862996
YDR012W	5.577956709
YDR013W	0.010892123
YDR014W	0.001096597
YDR016C	0.075768861
YDR017C	0.012198008
YDR018C	0.00216539
YDR019C	0.082205068
YDR020C	0.006525204
YDR021W	0.026577219
YDR022C	0.005544291
YDR023W	0.684265662
YDR025W	3.234349828
YDR026C	0.003959832
YDR027C	0.016509407
YDR028C	0.03574518
YDR030C	0.007782643
YDR031W	0.043908359
YDR032C	0.695569463
YDR033W	1.799440887
YDR034C	0.004909698
YDR035W	0.359354988
YDR036C	0.050711951
YDR037W	0.639245136
YDR038C	0.053143433
YDR039C	0.164107886
YDR040C	0.002367412
YDR041W	0.077043537
YDR042C	0.007180899
YDR043C	0.005461
YDR044W	0.077196436
YDR045C	0.132889917
YDR046C	0.094324444
YDR047W	0.104525945
YDR049W	0.019012763
YDR050C	15.68581543
YDR051C	0.081317605
YDR052C	0.005337414
YDR054C	0.030806736
YDR055W	0.439172758
YDR056C	0.1138734
YDR057W	0.023067995
YDR058C	0.022230337
YDR059C	0.048448267
YDR060W	0.078770044
YDR061W	0.037358408
YDR062W	0.242386685
YDR063W	0.125240015
YDR064W	1.14489228
YDR065W	0.001220198
YDR066C	0.017326958
YDR067C	0.014807991
YDR068W	0.064388322
YDR069C	0.003575892
YDR070C	0.011677846
YDR071C	0.321082163
YDR072C	0.146562785
YDR073W	0.002189296
YDR074W	0.054164219
YDR075W	0.01164646
YDR076W	0.005194674
YDR077W	2.697699126
YDR078C	0.005274596
YDR079W	0.078456986
YDR080W	0.009536743
YDR081C	0.00355207
YDR082W	0.001218242
YDR083W	0.106053918
YDR084C	0.098652316
YDR085C	0.005028676
YDR086C	0.270833898
YDR087C	0.091216304
YDR088C	0.009749588
YDR089W	0.012132123
YDR090C	0.042473253
YDR091C	0.13828241
YDR092W	0.323862526
YDR093W	0.015200405
YDR096W	0.003968048
YDR097C	0.038102927
YDR098C	0.239078914
YDR099W	0.28966114
YDR100W	0.143635738
YDR101C	0.15164963
YDR103W	0.008566413
YDR104C	0.001654169
YDR105C	0.08691969
YDR106W	0.008687855
YDR107C	0.018721962
YDR108W	0.008284719
YDR109C	0.003034443
YDR110W	0.019746544
YDR111C	0.009304767
YDR113C	0.022157409
YDR115W	0.171498046
YDR116C	0.050941116
YDR117C	0.02744267
YDR118W	0.003198458
YDR119W	0.075198483
YDR120C	0.117084612
YDR121W	0.029677156
YDR122W	0.008535227
YDR123C	0.008671625
YDR124W	0.003348986
YDR125C	0.001745277
YDR126W	0.006339168
YDR127W	0.083937311
YDR128W	0.00540005
YDR129C	0.271590307
YDR130C	0.016541166
YDR131C	0.008666205
YDR132C	0.005568801
YDR135C	0.0265361
