ORF	phi	Evolve Steps	Evolve Time	Eta_initial	Eta_final	Final \Delta Eta	Mean Mutation \Delta Eta	Var Mutation \Delta Eta	# Fix
YOR286W	0.9926	1	nan	46358035.701	46358035.701	0.000	0	0	
YHL029C	0.0648	1	nan	233889631930538628751539830784.000	233889631930538628751539830784.000	0.000	0	0	
YNL102W	0.07499	1	nan	20654392444332799000714960319815857586062882535105982913052672.000	20654392444332799000714960319815857586062882535105982913052672.000	0.000	0	0	
YLR284C	0.04475	1	nan	10424058327229.393	10424058327229.393	0.000	0	0	
YER145C	1.909	1	nan	451672598391383168.000	451672598391383168.000	0.000	0	0	
YJR073C	0.5424	1	nan	6168736431.237	6168736431.237	0.000	0	0	
YBL036C	0.4707	1	nan	791837252092.950	791837252092.950	0.000	0	0	
YDR006C	0.04892	1	nan	205245152957106543354892771914015571968.000	205245152957106543354892771914015571968.000	0.000	0	0	
YOR287C	0.04564	1	nan	111667467315091.156	111667467315091.156	0.000	0	0	
YNL103W	0.04325	1	nan	190096096717171939773478076416.000	190096096717171939773478076416.000	0.000	0	0	
YER146W	0.9435	1	nan	238807.788	238807.788	0.000	0	0	
YLR285W	0.8486	1	nan	1766312081019.290	1766312081019.290	0.000	0	0	
YJR074W	0.3365	1	nan	26009894359.730	26009894359.730	0.000	0	0	
YDR007W	0.1524	1	nan	44821057610.815	44821057610.815	0.000	0	0	
YBL037W	0.03742	1	nan	12795001776384703172455913065288382283776000.000	12795001776384703172455913065288382283776000.000	0.000	0	0	
YOR288C	0.3196	1	nan	404367008012443.188	404367008012443.188	0.000	0	0	
YHL030W	0.09855	1	nan	178640365524818217583032045322035275834117133740363939704143589759224178016256.000	178640365524818217583032045322035275834117133740363939704143589759224178016256.000	0.000	0	0	
YBL038W	0.4016	1	nan	102343852053.133	102343852053.133	0.000	0	0	
YER147C	0.09639	1	nan	2180393226166750097136680960.000	2180393226166750097136680960.000	0.000	0	0	
YNL104C	1.909	1	nan	103253276262229875674316800.000	103253276262229875674316800.000	0.000	0	0	
YLR286C	3.508	1	nan	638314740472393769156608.000	638314740472393769156608.000	0.000	0	0	
YDR009W	0.03179	1	nan	53894659851764344291328.000	53894659851764344291328.000	0.000	0	0	
YJR075W	0.4381	1	nan	480718492787817536.000	480718492787817536.000	0.000	0	0	
YOR289W	0.12	1	nan	770235125961.595	770235125961.595	0.000	0	0	
YLR287C	0.09345	1	nan	14246810874657172.000	14246810874657172.000	0.000	0	0	
YHL031C	0.3668	1	nan	49811562079.266	49811562079.266	0.000	0	0	
YER148W	0.7977	1	nan	175748029970.321	175748029970.321	0.000	0	0	
YJR076C	0.3397	1	nan	2472224778848987648.000	2472224778848987648.000	0.000	0	0	
YLR287CA	12.95	1	nan	12325.077	12325.077	0.000	0	0	
YBL039C	1.89	1	nan	2582035112020002278998016.000	2582035112020002278998016.000	0.000	0	0	
YER149C	0.09117	1	nan	9263023748990945280.000	9263023748990945280.000	0.000	0	0	
YHL032C	0.02089	1	nan	1580743268375121938152729608192.000	1580743268375121938152729608192.000	0.000	0	0	
YNL106C	0.01497	1	nan	83490091084344594082095294863721835651645868867584.000	83490091084344594082095294863721835651645868867584.000	0.000	0	0	
YJR077C	3.156	1	nan	39501385702371.758	39501385702371.758	0.000	0	0	
YLR288C	0.04379	1	nan	1104697698688339279872.000	1104697698688339279872.000	0.000	0	0	
YBL040C	0.5364	1	nan	26080498839.258	26080498839.258	0.000	0	0	
YER150W	0.2628	1	nan	30584044.460	30584044.460	0.000	0	0	
YHL033C	8.522	1	nan	290202426014.798	290202426014.798	0.000	0	0	
YDR011W	0.3995	1	nan	43165275724968465799588983877286863070214345315763013594120192.000	43165275724968465799588983877286863070214345315763013594120192.000	0.000	0	0	
YOR290C	0.09115	1	nan	131475784808692851481015114805651407907846818561074346586356514920857600.000	131475784808692851481015114805651407907846818561074346586356514920857600.000	0.000	0	0	
YJR078W	0.06064	1	nan	99386419873448476672.000	99386419873448476672.000	0.000	0	0	
YNL107W	0.1755	1	nan	85765899095.264	85765899095.264	0.000	0	0	
YBL041W	0.9882	1	nan	192017331150.593	192017331150.593	0.000	0	0	
YHL034C	3.247	1	nan	15582628820615.854	15582628820615.854	0.000	0	0	
YLR289W	0.04669	1	nan	10544935476272941587371130880.000	10544935476272941587371130880.000	0.000	0	0	
YER151C	0.1677	1	nan	264899427987600130085316041164736954368.000	264899427987600130085316041164736954368.000	0.000	0	0	
YDR012W	23.01	1	nan	2273905892119176.500	2273905892119176.500	0.000	0	0	
YNL108C	0.3958	1	nan	3680277811576.406	3680277811576.406	0.000	0	0	
YBL042C	0.5497	1	nan	1284434990838924553354215424.000	1284434990838924553354215424.000	0.000	0	0	
YJR079W	0.01388	1	nan	1236964.853	1236964.853	0.000	0	0	
YLR290C	0.1136	1	nan	7670231565118.258	7670231565118.258	0.000	0	0	
YDR013W	0.04493	1	nan	14466668085.845	14466668085.845	0.000	0	0	
YNL110C	1.263	1	nan	32483901726.107	32483901726.107	0.000	0	0	
YOR291W	0.1552	1	nan	28690796956051101023877254944797764565925420083656934952009728.000	28690796956051101023877254944797764565925420083656934952009728.000	0.000	0	0	
YBL043W	0.0741	1	nan	1275521546703.495	1275521546703.495	0.000	0	0	
YLR291C	0.5386	1	nan	86865112003405248.000	86865112003405248.000	0.000	0	0	
YER152C	0.2234	1	nan	47541280599141326848.000	47541280599141326848.000	0.000	0	0	
YJR080C	0.1719	1	nan	302535035692789120.000	302535035692789120.000	0.000	0	0	
YNL111C	0.5307	1	nan	2138461.502	2138461.502	0.000	0	0	
YLR292C	0.482	1	nan	2949238631.237	2949238631.237	0.000	0	0	
YDR014W	0.004523	1	nan	17139412928719671304722055168.000	17139412928719671304722055168.000	0.000	0	0	
YER153C	0.02677	1	nan	1961040321865.409	1961040321865.409	0.000	0	0	
YJR082C	0.1367	1	nan	1787740.637	1787740.637	0.000	0	0	
YHL035C	0.03637	1	nan	775198981345366172927125444724511755389898971946475431507869564928.000	775198981345366172927125444724511755389898971946475431507869564928.000	0.000	0	0	
YOR292C	0.03871	1	nan	253646139990859.562	253646139990859.562	0.000	0	0	
YBL044W	0.02802	1	nan	4877182.403	4877182.403	0.000	0	0	
YNL112W	2.827	1	nan	74325791991369861955584.000	74325791991369861955584.000	0.000	0	0	
YDR016C	0.3125	1	nan	295269.932	295269.932	0.000	0	0	
YLR293C	5.301	1	nan	14405491944.917	14405491944.917	0.000	0	0	
YOR293W	16.01	1	nan	577213.320	577213.320	0.000	0	0	
YER154W	0.5294	1	nan	597720090244639232.000	597720090244639232.000	0.000	0	0	
YHL036W	0.03149	1	nan	339488389989967511683072.000	339488389989967511683072.000	0.000	0	0	
YJR083C	0.08922	1	nan	342141566571711.688	342141566571711.688	0.000	0	0	
YNL113W	1.287	1	nan	23656789.466	23656789.466	0.000	0	0	
YLR295C	1.278	1	nan	4505572.662	4505572.662	0.000	0	0	
YOR294W	0.3713	1	nan	6153591409.671	6153591409.671	0.000	0	0	
YBL045C	0.7183	1	nan	43685064911612821504.000	43685064911612821504.000	0.000	0	0	
YLR297W	0.1047	1	nan	7142589.092	7142589.092	0.000	0	0	
YJR084W	0.2081	1	nan	15144360880014985216.000	15144360880014985216.000	0.000	0	0	
YHL038C	0.08246	1	nan	2640440761572178500069097472.000	2640440761572178500069097472.000	0.000	0	0	
YDR017C	0.05031	1	nan	330000036037179380818076536009550262924476416.000	330000036037179380818076536009550262924476416.000	0.000	0	0	
YOR295W	0.02567	1	nan	102793910552.207	102793910552.207	0.000	0	0	
YNL115C	0.1001	1	nan	4289216453691118299778121728.000	4289216453691118299778121728.000	0.000	0	0	
YBL046W	0.07634	1	nan	62764202584123883520.000	62764202584123883520.000	0.000	0	0	
YJR085C	2.306	1	nan	596026.174	596026.174	0.000	0	0	
YLR298C	0.1907	1	nan	140303845664.225	140303845664.225	0.000	0	0	
YNL116W	0.04433	1	nan	67691521301677214793728.000	67691521301677214793728.000	0.000	0	0	
YHL039W	0.1847	1	nan	26451167493525141048000512.000	26451167493525141048000512.000	0.000	0	0	
YJR086W	0.5409	1	nan	1499832.465	1499832.465	0.000	0	0	
YDR018C	0.008932	1	nan	559427439823467136.000	559427439823467136.000	0.000	0	0	
YLR299W	0.2791	1	nan	24774288627640750537411919872.000	24774288627640750537411919872.000	0.000	0	0	
YNL117W	0.03649	1	nan	674227510623678603722752.000	674227510623678603722752.000	0.000	0	0	
